City,State,Passenger Miles
Clemson,SC,"4,078,830 "
Albany,GA,"4,052,480 "
Berlin,CT,"4,045,171 "
Portland,ME,"4,018,914 "
Dallas,TX,"3,932,331 "
Hampton,VA,"3,867,691 "
Riverside,CA,"3,855,143 "
Olympia,WA,"3,848,174 "
Stockton,CA,"3,839,997 "
Williamsburg,VA,"3,816,216 "
Green Bay,WI,"3,765,143 "
Sioux City,IA,"3,755,363 "
New York,NY,"3,728,167 "
Taunton,MA,"3,717,936 "
Fort Collins,CO,"3,703,451 "
Indianapolis,IN,"3,701,815 "
Wilmington,NC,"3,680,587 "
Riverside,CA,"3,675,090 "
Newington,CT,"3,645,321 "
Corvallis,OR,"3,638,715 "
Cocoa,FL,"3,634,438 "
Burlington,WA,"3,626,107 "
Morgantown,WV,"3,623,838 "
Kingston,NY,"3,600,877 "
Eugene,OR,"3,575,125 "
Grand River,OH,"3,552,350 "
Portland,OR,"3,534,689 "
Johnstown,PA,"3,514,593 "
Jersey City,NJ,"3,472,314 "
Nashville,TN,"3,462,354 "
Huntsville,AL,"3,456,177 "
Hyannis,MA,"3,451,947 "
Yakima,WA,"3,442,110 "
Hampton,VA,"3,438,583 "
Louisville,KY,"3,378,628 "
Saginaw,MI,"3,378,276 "
Bremerton,WA,"3,377,524 "
Oakland,CA,"3,371,244 "
Salem,OR,"3,357,510 "
Dover,NH,"3,338,308 "
Detroit,MI,"3,332,821 "
Fort Collins,CO,"3,326,548 "
Seattle,WA,"3,323,914 "
Frederick,MD,"3,302,009 "
Glendale,CA,"3,300,627 "
Decatur,IL,"3,298,158 "
Johnson City,TN,"3,294,787 "
Racine,WI,"3,292,739 "
Lawrence,KS,"3,292,113 "
Robertsdale,AL,"3,272,549 "
Sioux Falls,SD,"3,270,399 "
Missoula,MT,"3,268,988 "
Phoenix,AZ,"3,266,394 "
Raleigh,NC,"3,254,322 "
Bay City,MI,"3,248,592 "
Iowa City,IA,"3,231,165 "
White Plains,NY,"3,223,896 "
Sacramento,CA,"3,202,528 "
Providence,RI,"3,200,031 "
Kansas City,MO,"3,193,498 "
Seattle,WA,"3,171,300 "
Pompano Beach,FL,"3,164,907 "
Columbus,OH,"3,164,097 "
Dover,DE,"3,152,817 "
Springfield,MA,"3,120,295 "
Milwaukee,WI,"3,099,217 "
Waukesha,WI,"3,098,462 "
Port Huron,MI,"3,092,729 "
Napa,CA,"3,086,955 "
Columbia,MO,"3,078,604 "
Framingham,MA,"3,071,011 "
Santa Fe,NM,"3,066,904 "
Monterey,CA,"3,064,901 "
Oakland,CA,"3,059,958 "
Lansing,MI,"3,054,907 "
El Paso,TX,"3,033,504 "
Richmond,VA,"3,032,133 "
Columbus,OH,"3,031,477 "
Kent,OH,"2,999,437 "
San Luis Obispo,CA,"2,939,693 "
Bend,OR,"2,929,924 "
Pueblo,CO,"2,907,728 "
Charlottesville,VA,"2,876,766 "
La Crosse,WI,"2,876,380 "
Salem,OR,"2,848,891 "
Gulfport,MS,"2,792,400 "
San Francisco,CA,"2,776,611 "
Fort Myers,FL,"2,774,574 "
Pasadena,CA,"2,749,102 "
San Carlos,CA,"2,743,486 "
Port Huron,MI,"2,742,724 "
Charlotte,NC,"2,713,566 "
Detroit,MI,"2,694,457 "
Detroit,MI,"2,681,679 "
Charlotte,NC,"2,680,605 "
Garden City,NY,"2,676,961 "
Montgomery,AL,"2,652,405 "
San Saba,TX,"2,650,389 "
Santa Maria,CA,"2,636,677 "
Port Huron,MI,"2,632,370 "
Salt Lake City,UT,"2,623,078 "
Kansas City,MO,"2,622,218 "
Houston,TX,"2,619,565 "
Bryan,TX,"2,605,024 "
Cincinnati,OH,"2,583,709 "
Douglasville,GA,"2,581,123 "
Grand Rapids,MI,"2,561,373 "
Grand River,OH,"2,552,808 "
Olathe,KS,"2,548,387 "
Hesperia,CA,"2,536,036 "
Tucson,AZ,"2,532,310 "
Colorado Springs,CO,"2,497,163 "
Fort Pierce,FL,"2,490,404 "
St. Paul,MN,"2,488,094 "
Raleigh,NC,"2,477,989 "
Everett,WA,"2,461,194 "
Marysville,CA,"2,452,542 "
Indianapolis,IN,"2,451,948 "
South Bend,IN,"2,449,714 "
New Brunswick,NJ,"2,433,770 "
Burlington,WA,"2,432,602 "
Spartanburg,SC,"2,427,722 "
Yakima,WA,"2,424,719 "
Altoona,PA,"2,423,745 "
Toledo,OH,"2,423,721 "
Ann Arbor,MI,"2,421,462 "
Greensburg,PA,"2,403,295 "
Waukesha,WI,"2,390,880 "
Cleveland,OH,"2,390,663 "
Jackson,TN,"2,385,092 "
West Bend,WI,"2,384,265 "
North Charleston,SC,"2,382,709 "
Augusta,GA,"2,361,942 "
Monterey,CA,"2,339,074 "
Richland,WA,"2,326,437 "
Eau Claire,WI,"2,321,024 "
Washington,DC,"2,273,415 "
Albuquerque,NM,"2,249,258 "
Wailuku,HI,"2,231,096 "
Fitchburg,MA,"2,228,758 "
Leesburg,VA,"2,223,797 "
Yuma,AZ,"2,203,991 "
Orange,CA,"2,190,498 "
Eugene,OR,"2,188,443 "
Louisville,KY,"2,183,355 "
Ocala,FL,"2,181,109 "
Memphis,TN,"2,175,990 "
Hesperia,CA,"2,171,094 "
Minneapolis,MN,"2,169,494 "
Fort Worth,TX,"2,145,208 "
St. Petersburg,FL,"2,139,491 "
Spokane,WA,"2,139,425 "
Tavares,FL,"2,132,469 "
Commerce,CA,"2,113,828 "
Oceanside,CA,"2,111,383 "
South Daytona,FL,"2,110,756 "
Spokane,WA,"2,103,052 "
Dayton,OH,"2,074,794 "
Buffalo,NY,"2,070,375 "
Fairfax,VA,"2,052,265 "
Auburn,CA,"2,036,953 "
Knoxville,TN,"2,034,819 "
Port Washington,WI,"2,030,109 "
Wilsonville,OR,"2,027,080 "
Anchorage,AK,"2,021,577 "
Moorhead,MN,"2,020,486 "
Cleveland,OH,"2,011,430 "
St. Petersburg,FL,"1,994,973 "
Orange,CA,"1,993,024 "
York,PA,"1,981,014 "
Scotrun,PA,"1,980,012 "
Nashua,NH,"1,974,167 "
Greensboro,NC,"1,970,847 "
Seattle,WA,"1,969,214 "
Cocoa,FL,"1,956,271 "
Salt Lake City,UT,"1,944,598 "
Arlington Heights,IL,"1,940,237 "
Washington,PA,"1,935,052 "
San Carlos,CA,"1,934,267 "
Gainesville,FL,"1,933,305 "
Durham,NC,"1,932,897 "
Boston,MA,"1,932,775 "
Owensboro,KY,"1,926,638 "
Billings,MT,"1,925,547 "
Vallejo,CA,"1,921,459 "
Kansas City,MO,"1,919,621 "
San Saba,TX,"1,872,973 "
Laguna Beach,CA,"1,871,078 "
Sarasota,FL,"1,867,340 "
Vancouver,WA,"1,863,845 "
Seattle,WA,"1,856,308 "
Birmingham,AL,"1,852,055 "
Research Triangle Park,NC,"1,851,533 "
Bremerton,WA,"1,846,895 "
Winston-Salem,NC,"1,830,351 "
Xenia,OH,"1,823,104 "
Seattle,WA,"1,819,602 "
San Jose,CA,"1,816,784 "
Detroit,MI,"1,812,007 "
Thousand Palms,CA,"1,801,819 "
Hyannis,MA,"1,801,723 "
Colorado Springs,CO,"1,799,465 "
Sugar Land,TX,"1,798,734 "
Bellingham,WA,"1,789,205 "
Stockton,CA,"1,765,195 "
Grand River,OH,"1,761,381 "
Tacoma,WA,"1,754,343 "
Kansas City,MO,"1,750,386 "
Diamond Springs,CA,"1,739,527 "
Taunton,MA,"1,736,566 "
Zephyr Cove,NV,"1,729,250 "
Monterey,CA,"1,727,374 "
New Orleans,LA,"1,722,218 "
Corpus Christi,TX,"1,721,038 "
Lexington,KY,"1,708,502 "
Kalamazoo,MI,"1,707,676 "
Honolulu,HI,"1,699,102 "
Grand Rapids,MI,"1,693,568 "
Reno,NV,"1,693,355 "
Williamsburg,VA,"1,692,958 "
Oshkosh,WI,"1,690,840 "
Rochester,NY,"1,649,421 "
Haverhill,MA,"1,648,708 "
Tacoma,WA,"1,634,171 "
Hamden,CT,"1,630,070 "
Kokomo,IN,"1,623,988 "
Elizabethtown,KY,"1,616,724 "
Lawrence,KS,"1,608,066 "
Elk Grove,CA,"1,580,254 "
Tampa,FL,"1,575,340 "
San Jose,CA,"1,564,903 "
Bend,OR,"1,549,137 "
Lemont Furnace,PA,"1,547,986 "
Arlington,TX,"1,540,731 "
San Carlos,CA,"1,533,932 "
Coralville,IA,"1,527,046 "
Fresno,CA,"1,524,485 "
Annapolis,MD,"1,521,318 "
Springdale,AR,"1,514,005 "
Longview,WA,"1,512,934 "
Scotrun,PA,"1,512,552 "
Corpus Christi,TX,"1,510,790 "
Albany,NY,"1,499,351 "
